State,Sector,Year,Value
Alabama,Population,1990,"4,050,055"
Alabama,Population,1991,"4,099,156"
Alabama,Population,1992,"4,154,014"
Alabama,Population,1993,"4,214,202"
Alabama,Population,1994,"4,260,229"
Alabama,Population,1995,"4,296,800"
Alabama,Population,1996,"4,331,102"
Alabama,Population,1997,"4,367,935"
Alabama,Population,1998,"4,404,701"
Alabama,Population,1999,"4,430,141"
Alabama,Population,2000,"4,447,100"
Alabama,Population,2001,"4,467,634"
Alabama,Population,2002,"4,480,089"
Alabama,Population,2003,"4,503,491"
Alabama,Population,2004,"4,530,729"
Alabama,Population,2005,"4,569,805"
Alabama,Population,2006,"4,628,981"
Alabama,Population,2007,"4,672,840"
Alabama,Population,2008,"4,718,206"
Alabama,Population,2009,"4,757,938"
Alabama,Population,2010,"4,779,736"
Alaska,Commercial,1990,2.197296908
Alaska,Commercial,1991,2.232936673
Alaska,Commercial,1992,2.514159057
Alaska,Commercial,1993,2.560881642
Alaska,Commercial,1994,2.58599206
Alaska,Commercial,1995,2.501824075
Alaska,Commercial,1996,2.710370929
Alaska,Commercial,1997,2.562720972
Alaska,Commercial,1998,2.666850538
Alaska,Commercial,1999,2.824665119
Alaska,Commercial,2000,2.690273752
Alaska,Commercial,2001,2.486117392
Alaska,Commercial,2002,2.066354177
Alaska,Commercial,2003,1.931954286
Alaska,Commercial,2004,2.207944592
Alaska,Commercial,2005,2.12050037
Alaska,Commercial,2006,2.419091739
Alaska,Commercial,2007,2.195779223
Alaska,Commercial,2008,2.264648815
Alaska,Commercial,2009,2.138051151
Alaska,Commercial,2010,2.530072323
Alaska,Electric Power,1990,2.606027295
Alaska,Electric Power,1991,2.464171257
Alaska,Electric Power,1992,2.293175863
Alaska,Electric Power,1993,2.318982598
Alaska,Electric Power,1994,2.332361018
Alaska,Electric Power,1995,2.40993258
Alaska,Electric Power,1996,2.531789806
Alaska,Electric Power,1997,2.735766453
Alaska,Electric Power,1998,2.907414301
Alaska,Electric Power,1999,3.012661663
Alaska,Electric Power,2000,3.159730701
Alaska,Electric Power,2001,3.240643556
Alaska,Electric Power,2002,3.256835105
Alaska,Electric Power,2003,2.97254043
Alaska,Electric Power,2004,3.156847441
Alaska,Electric Power,2005,3.22299711
Alaska,Electric Power,2006,3.467443591
Alaska,Electric Power,2007,3.261310615
Alaska,Electric Power,2008,3.253488115
Alaska,Electric Power,2009,3.137796989
Alaska,Electric Power,2010,3.030174383
Alaska,Industrial,1990,15.82846658
Alaska,Industrial,1991,17.43604242
Alaska,Industrial,1992,18.87355424
Alaska,Industrial,1993,18.50589877
Alaska,Industrial,1994,18.06131079
Alaska,Industrial,1995,21.43899297
Alaska,Industrial,1996,22.526757
Alaska,Industrial,1997,21.16732835
Alaska,Industrial,1998,21.66127893
Alaska,Industrial,1999,20.57969202
Alaska,Industrial,2000,20.52627572
Alaska,Industrial,2001,20.63419329
Alaska,Industrial,2002,21.07938174
Alaska,Industrial,2003,20.78751316
Alaska,Industrial,2004,20.02034596
Alaska,Industrial,2005,21.42456743
Alaska,Industrial,2006,18.40123453
Alaska,Industrial,2007,18.5583478
Alaska,Industrial,2008,16.47857773
Alaska,Industrial,2009,16.83555452
Alaska,Industrial,2010,16.09860419
Alaska,Residential,1990,1.580325003
Alaska,Residential,1991,1.597609887
Alaska,Residential,1992,1.742956743
Alaska,Residential,1993,1.731158676
Alaska,Residential,1994,1.773314557
Alaska,Residential,1995,1.812679163
Alaska,Residential,1996,1.79586725
Alaska,Residential,1997,1.70303391
Alaska,Residential,1998,1.650976693
Alaska,Residential,1999,1.950547069
Alaska,Residential,2000,1.737993441
Alaska,Residential,2001,1.805080456
Alaska,Residential,2002,1.621757086
Alaska,Residential,2003,1.641573247
Alaska,Residential,2004,1.799170719
Alaska,Residential,2005,1.767700189
Alaska,Residential,2006,2.152499643
Alaska,Residential,2007,1.84930611
Alaska,Residential,2008,1.854560334
Alaska,Residential,2009,1.861631548
Alaska,Residential,2010,1.796302432
Alaska,Transportation,1990,12.09042723
Alaska,Transportation,1991,11.16871138
Alaska,Transportation,1992,10.8591926
Alaska,Transportation,1993,11.0268453
Alaska,Transportation,1994,11.19399207
Alaska,Transportation,1995,12.33479388
Alaska,Transportation,1996,12.0104097
Alaska,Transportation,1997,13.48820666
Alaska,Transportation,1998,13.75329197
Alaska,Transportation,1999,14.81653411
Alaska,Transportation,2000,15.7204083
Alaska,Transportation,2001,14.72566241
Alaska,Transportation,2002,15.02941515
Alaska,Transportation,2003,15.6907385
Alaska,Transportation,2004,19.14519083
Alaska,Transportation,2005,18.9751586
Alaska,Transportation,2006,19.13434042
Alaska,Transportation,2007,18.03616793
Alaska,Transportation,2008,15.41368614
Alaska,Transportation,2009,13.61844934
Alaska,Transportation,2010,14.99549633
Alaska,Population,1990,"553,290"
Alaska,Population,1991,"570,193"
Alaska,Population,1992,"588,736"
Alaska,Population,1993,"599,432"
Alaska,Population,1994,"603,308"
Alaska,Population,1995,"604,412"
Alaska,Population,1996,"608,569"
Alaska,Population,1997,"612,968"
Alaska,Population,1998,"619,932"
Alaska,Population,1999,"624,779"
Alaska,Population,2000,"626,932"
Alaska,Population,2001,"633,714"
Alaska,Population,2002,"642,337"
Alaska,Population,2003,"648,414"
Alaska,Population,2004,"659,286"
Alaska,Population,2005,"666,946"
Alaska,Population,2006,"675,302"
Alaska,Population,2007,"680,300"
Alaska,Population,2008,"687,455"
Alaska,Population,2009,"698,895"
Alaska,Population,2010,"710,231"
Arizona,Commercial,1990,1.899724989
Arizona,Commercial,1991,1.832979252
Arizona,Commercial,1992,1.776843394
Arizona,Commercial,1993,1.738699538
Arizona,Commercial,1994,1.828961154
Arizona,Commercial,1995,1.79267051
Arizona,Commercial,1996,1.87596855
Arizona,Commercial,1997,1.978731074
Arizona,Commercial,1998,2.279443634
Arizona,Commercial,1999,2.203827276
Arizona,Commercial,2000,2.19317704
Arizona,Commercial,2001,2.086307214
Arizona,Commercial,2002,2.165857716
Arizona,Commercial,2003,2.040290693
Arizona,Commercial,2004,2.01981779
Arizona,Commercial,2005,2.004688402
Arizona,Commercial,2006,2.034765783
Arizona,Commercial,2007,2.121553005
Arizona,Commercial,2008,2.420103684
Arizona,Commercial,2009,2.215278998
Arizona,Commercial,2010,2.37675801
Arizona,Electric Power,1990,32.52174932
Arizona,Electric Power,1991,32.75719663
Arizona,Electric Power,1992,35.36537838
Arizona,Electric Power,1993,36.58383217
Arizona,Electric Power,1994,38.01339995
Arizona,Electric Power,1995,32.2963261
Arizona,Electric Power,1996,32.292012
Arizona,Electric Power,1997,34.99806985
Arizona,Electric Power,1998,36.86782243
Arizona,Electric Power,1999,39.3911127
Arizona,Electric Power,2000,44.25450129
Arizona,Electric Power,2001,45.49862793
Arizona,Electric Power,2002,44.52768522
Arizona,Electric Power,2003,45.66136067
Arizona,Electric Power,2004,51.22987453
Arizona,Electric Power,2005,50.34927842
Arizona,Electric Power,2006,52.28255073
Arizona,Electric Power,2007,54.71881733
Arizona,Electric Power,2008,57.10940899
Arizona,Electric Power,2009,51.99799239
Arizona,Electric Power,2010,53.87430502
Arizona,Industrial,1990,3.861070754
Arizona,Industrial,1991,3.918609093
Arizona,Industrial,1992,3.925070103
Arizona,Industrial,1993,3.941926154
Arizona,Industrial,1994,4.343487612
Arizona,Industrial,1995,4.677597301
Arizona,Industrial,1996,4.862292635
Arizona,Industrial,1997,4.970828195
Arizona,Industrial,1998,4.697777348
Arizona,Industrial,1999,4.792250939
Arizona,Industrial,2000,4.764452974
Arizona,Industrial,2001,4.858617954
Arizona,Industrial,2002,4.326534012
Arizona,Industrial,2003,4.048593781
Arizona,Industrial,2004,4.596972846
Arizona,Industrial,2005,5.03516989
Arizona,Industrial,2006,5.09218316
Arizona,Industrial,2007,4.915030449
Arizona,Industrial,2008,5.38599122
Arizona,Industrial,2009,4.315367137
Arizona,Industrial,2010,4.817550782
Arizona,Residential,1990,1.826600543
Arizona,Residential,1991,1.889313054
Arizona,Residential,1992,1.754703345
Arizona,Residential,1993,1.713540844
Arizona,Residential,1994,1.799027333
Arizona,Residential,1995,1.689254912
Arizona,Residential,1996,1.654429803
Arizona,Residential,1997,1.839840453
Arizona,Residential,1998,2.165388053
Arizona,Residential,1999,2.077321333
Arizona,Residential,2000,2.127139201
Arizona,Residential,2001,2.186488247
Arizona,Residential,2002,2.162166255
Arizona,Residential,2003,2.129220976
Arizona,Residential,2004,2.237840202
Arizona,Residential,2005,2.125826755
Arizona,Residential,2006,2.147214287
Arizona,Residential,2007,2.26997687
Arizona,Residential,2008,2.411500108
Arizona,Residential,2009,2.176942493
Arizona,Residential,2010,2.321389481
Arizona,Transportation,1990,22.83456638
Arizona,Transportation,1991,23.3602381
Arizona,Transportation,1992,23.73523371
Arizona,Transportation,1993,25.05159577
Arizona,Transportation,1994,25.7095306
Arizona,Transportation,1995,26.16595917
Arizona,Transportation,1996,27.79575068
Arizona,Transportation,1997,27.81932857
Arizona,Transportation,1998,29.99823887
Arizona,Transportation,1999,31.66679851
Arizona,Transportation,2000,32.47131348
Arizona,Transportation,2001,33.52605753
Arizona,Transportation,2002,34.36446609
Arizona,Transportation,2003,35.25200841
Arizona,Transportation,2004,36.31895584
Arizona,Transportation,2005,36.99617098
Arizona,Transportation,2006,38.24654175
Arizona,Transportation,2007,37.92909033
Arizona,Transportation,2008,35.53788092
Arizona,Transportation,2009,33.67795068
Arizona,Transportation,2010,32.21692348
Arizona,Population,1990,"3,684,097"
Arizona,Population,1991,"3,788,576"
Arizona,Population,1992,"3,915,740"
Arizona,Population,1993,"4,065,440"
Arizona,Population,1994,"4,245,089"
Arizona,Population,1995,"4,432,499"
Arizona,Population,1996,"4,586,940"
Arizona,Population,1997,"4,736,990"
Arizona,Population,1998,"4,883,342"
Arizona,Population,1999,"5,023,823"
Arizona,Population,2000,"5,130,632"
Arizona,Population,2001,"5,273,477"
Arizona,Population,2002,"5,396,255"
Arizona,Population,2003,"5,510,364"
Arizona,Population,2004,"5,652,404"
Arizona,Population,2005,"5,839,077"
Arizona,Population,2006,"6,029,141"
Arizona,Population,2007,"6,167,681"
Arizona,Population,2008,"6,280,362"
Arizona,Population,2009,"6,343,154"
Arizona,Population,2010,"6,392,017"
Arkansas,Commercial,1990,1.620642407
Arkansas,Commercial,1991,1.629577131
Arkansas,Commercial,1992,1.586106323
Arkansas,Commercial,1993,1.812628166
Arkansas,Commercial,1994,1.748302126
Arkansas,Commercial,1995,1.795240688
Arkansas,Commercial,1996,1.902025934
Arkansas,Commercial,1997,1.79313508
Arkansas,Commercial,1998,1.752452427
Arkansas,Commercial,1999,1.786620204
Arkansas,Commercial,2000,2.105655466
Arkansas,Commercial,2001,2.137309486
Arkansas,Commercial,2002,2.131977001
Arkansas,Commercial,2003,2.170548933
Arkansas,Commercial,2004,2.020417727
Arkansas,Commercial,2005,2.12248449
Arkansas,Commercial,2006,1.874440704
Arkansas,Commercial,2007,1.861461919
Arkansas,Commercial,2008,2.172759078
Arkansas,Commercial,2009,2.504189058
Arkansas,Commercial,2010,2.567036637
Arkansas,Electric Power,1990,21.59663027
Arkansas,Electric Power,1991,21.73690311
Arkansas,Electric Power,1992,22.11436771
Arkansas,Electric Power,1993,19.80120032
Arkansas,Electric Power,1994,22.03751377
Arkansas,Electric Power,1995,23.96353649
Arkansas,Electric Power,1996,26.20868821
Arkansas,Electric Power,1997,24.54110918
Arkansas,Electric Power,1998,25.46810182
Arkansas,Electric Power,1999,26.51662691
Arkansas,Electric Power,2000,26.15533975
Arkansas,Electric Power,2001,26.69820947
Arkansas,Electric Power,2002,25.28601969
Arkansas,Electric Power,2003,26.06245599
Arkansas,Electric Power,2004,26.88389385
Arkansas,Electric Power,2005,25.05256182
Arkansas,Electric Power,2006,27.16531539
Arkansas,Electric Power,2007,28.31419576
Arkansas,Electric Power,2008,28.73103084
Arkansas,Electric Power,2009,28.58173006
Arkansas,Electric Power,2010,32.03267995
Arkansas,Industrial,1990,9.350442233
Arkansas,Industrial,1991,8.066898042
Arkansas,Industrial,1992,9.562616722
Arkansas,Industrial,1993,9.66133749
Arkansas,Industrial,1994,10.46367096
Arkansas,Industrial,1995,11.39746269
Arkansas,Industrial,1996,11.17569599
Arkansas,Industrial,1997,11.57075863
Arkansas,Industrial,1998,11.43234091
Arkansas,Industrial,1999,10.88670665
Arkansas,Industrial,2000,10.95150386
Arkansas,Industrial,2001,10.9634195
Arkansas,Industrial,2002,10.52903623
Arkansas,Industrial,2003,10.55264128
Arkansas,Industrial,2004,10.28374731
Arkansas,Industrial,2005,9.929935993
Arkansas,Industrial,2006,10.07719872
Arkansas,Industrial,2007,9.890892344
Arkansas,Industrial,2008,9.809889225
Arkansas,Industrial,2009,8.061211956
Arkansas,Industrial,2010,8.853602743
Arkansas,Residential,1990,2.52177823
Arkansas,Residential,1991,2.575407218
Arkansas,Residential,1992,2.454788533
Arkansas,Residential,1993,2.83637291
Arkansas,Residential,1994,2.630947619
Arkansas,Residential,1995,2.708858906
Arkansas,Residential,1996,2.861105116
Arkansas,Residential,1997,2.646036055
Arkansas,Residential,1998,2.345694063
Arkansas,Residential,1999,2.65858878
Arkansas,Residential,2000,2.909536575
Arkansas,Residential,2001,2.649908016
Arkansas,Residential,2002,2.616024356
Arkansas,Residential,2003,2.482713581
Arkansas,Residential,2004,2.247257672
Arkansas,Residential,2005,2.150469752
Arkansas,Residential,2006,2.067099471
Arkansas,Residential,2007,2.090780761
Arkansas,Residential,2008,2.336878935
Arkansas,Residential,2009,2.205496087
Arkansas,Residential,2010,2.315044243
Arkansas,Transportation,1990,16.1560991
Arkansas,Transportation,1991,16.29614345
Arkansas,Transportation,1992,16.21673013
Arkansas,Transportation,1993,17.01673159
Arkansas,Transportation,1994,18.13057876
Arkansas,Transportation,1995,18.4881546
Arkansas,Transportation,1996,18.851798
Arkansas,Transportation,1997,19.42796632
Arkansas,Transportation,1998,19.653801
Arkansas,Transportation,1999,20.87770614
Arkansas,Transportation,2000,20.96715382
Arkansas,Transportation,2001,19.80638701
Arkansas,Transportation,2002,20.42508685
Arkansas,Transportation,2003,20.18360341
Arkansas,Transportation,2004,20.6633293
Arkansas,Transportation,2005,20.66625461
Arkansas,Transportation,2006,20.69587991
Arkansas,Transportation,2007,21.16532995
Arkansas,Transportation,2008,20.82112337
Arkansas,Transportation,2009,20.35210523
Arkansas,Transportation,2010,20.41882586
Arkansas,Population,1990,"2,356,586"
Arkansas,Population,1991,"2,383,144"
Arkansas,Population,1992,"2,415,984"
Arkansas,Population,1993,"2,456,303"
Arkansas,Population,1994,"2,494,019"
Arkansas,Population,1995,"2,535,399"
Arkansas,Population,1996,"2,572,109"
Arkansas,Population,1997,"2,601,090"
Arkansas,Population,1998,"2,626,289"
Arkansas,Population,1999,"2,651,860"
Arkansas,Population,2000,"2,673,400"
Arkansas,Population,2001,"2,691,571"
Arkansas,Population,2002,"2,705,927"
Arkansas,Population,2003,"2,724,816"
Arkansas,Population,2004,"2,749,686"
Arkansas,Population,2005,"2,781,097"
Arkansas,Population,2006,"2,821,761"
Arkansas,Population,2007,"2,848,650"
Arkansas,Population,2008,"2,874,554"
Arkansas,Population,2009,"2,896,843"
Arkansas,Population,2010,"2,915,918"
California,Commercial,1990,18.95532405
California,Commercial,1991,19.11035499
California,Commercial,1992,17.41741508
California,Commercial,1993,15.51217424
California,Commercial,1994,15.90734128
California,Commercial,1995,16.99811013
California,Commercial,1996,14.73541862
California,Commercial,1997,15.3344544
California,Commercial,1998,17.7487139
California,Commercial,1999,14.9044076
California,Commercial,2000,14.36675103
California,Commercial,2001,14.84353927
California,Commercial,2002,14.22730267
California,Commercial,2003,13.9726041
California,Commercial,2004,14.10749249
California,Commercial,2005,14.2193931
California,Commercial,2006,14.44042123
California,Commercial,2007,15.07437312
California,Commercial,2008,15.55350004
California,Commercial,2009,15.753843
California,Commercial,2010,15.93589459
California,Electric Power,1990,40.17557173
California,Electric Power,1991,37.95346238
California,Electric Power,1992,45.52784494
California,Electric Power,1993,41.92618617
California,Electric Power,1994,49.36315583
California,Electric Power,1995,37.06914019
California,Electric Power,1996,32.75013977
California,Electric Power,1997,35.74891534
California,Electric Power,1998,39.28928857
California,Electric Power,1999,43.21996739
California,Electric Power,2000,52.81743252
California,Electric Power,2001,57.72937066
California,Electric Power,2002,43.64740476
California,Electric Power,2003,42.62408725
California,Electric Power,2004,46.37128009
California,Electric Power,2005,41.99855097
California,Electric Power,2006,46.49989008
California,Electric Power,2007,50.04160989
California,Electric Power,2008,50.92476285
California,Electric Power,2009,47.85563062
California,Electric Power,2010,43.42128376
California,Industrial,1990,71.61567248
California,Industrial,1991,72.99930653
California,Industrial,1992,73.28858612
California,Industrial,1993,70.53252344
California,Industrial,1994,70.80777972
California,Industrial,1995,69.6847097
California,Industrial,1996,72.86620442
California,Industrial,1997,77.69028131
California,Industrial,1998,75.42703336
California,Industrial,1999,73.45939112
California,Industrial,2000,72.82659749
California,Industrial,2001,74.52849682
California,Industrial,2002,76.16964799
California,Industrial,2003,75.57824394
California,Industrial,2004,79.74494438
California,Industrial,2005,76.8780956
California,Industrial,2006,76.27552695
California,Industrial,2007,74.619521
California,Industrial,2008,70.89045217
California,Industrial,2009,66.5074188
California,Industrial,2010,68.06969504
California,Residential,1990,29.46993314
California,Residential,1991,29.24804004
California,Residential,1992,27.20032257
California,Residential,1993,28.78914171
California,Residential,1994,29.35064524
California,Residential,1995,26.74354496
California,Residential,1996,26.94320296
California,Residential,1997,26.73153501
California,Residential,1998,32.24998629
California,Residential,1999,31.91895391
California,Residential,2000,27.5260029
California,Residential,2001,28.62603398
California,Residential,2002,28.64184297
California,Residential,2003,28.31629735
California,Residential,2004,29.39485649
California,Residential,2005,28.17184232
California,Residential,2006,28.3683569
California,Residential,2007,28.58144582
California,Residential,2008,28.77641911
California,Residential,2009,28.27191723
California,Residential,2010,28.88529418
California,Transportation,1990,202.7633518
California,Transportation,1991,192.0150634
California,Transportation,1992,192.072103
California,Transportation,1993,188.8281773
California,Transportation,1994,196.7326447
California,Transportation,1995,200.787196
California,Transportation,1996,204.8776535
California,Transportation,1997,199.7376565
California,Transportation,1998,200.6491351
California,Transportation,1999,204.9242642
California,Transportation,2000,215.8318892
California,Transportation,2001,211.8183145
California,Transportation,2002,223.8731899
California,Transportation,2003,231.0436679
California,Transportation,2004,223.9065206
California,Transportation,2005,229.773532
California,Transportation,2006,234.2978707
California,Transportation,2007,237.9842126
California,Transportation,2008,225.1537132
California,Transportation,2009,218.2735643
California,Transportation,2010,214.5777764
California,Population,1990,"29,959,515"
California,Population,1991,"30,470,736"
California,Population,1992,"30,974,659"
California,Population,1993,"31,274,928"
California,Population,1994,"31,484,435"
California,Population,1995,"31,696,582"
California,Population,1996,"32,018,834"
California,Population,1997,"32,486,010"
California,Population,1998,"32,987,675"
California,Population,1999,"33,499,204"
California,Population,2000,"33,871,648"
California,Population,2001,"34,479,458"
California,Population,2002,"34,871,843"
California,Population,2003,"35,253,159"
California,Population,2004,"35,574,576"
California,Population,2005,"35,827,943"
California,Population,2006,"36,021,202"
California,Population,2007,"36,250,311"
California,Population,2008,"36,604,337"
California,Population,2009,"36,961,229"
California,Population,2010,"37,253,956"
Colorado,Commercial,1990,3.984750106
Colorado,Commercial,1991,4.286409259
Colorado,Commercial,1992,4.116104121
Colorado,Commercial,1993,4.274655585
Colorado,Commercial,1994,4.070375047
Colorado,Commercial,1995,4.036945277
Colorado,Commercial,1996,4.235235271
Colorado,Commercial,1997,4.211612061
Colorado,Commercial,1998,3.800502953
Colorado,Commercial,1999,3.835570842
Colorado,Commercial,2000,3.794633872
Colorado,Commercial,2001,4.410595265
Colorado,Commercial,2002,4.342352392
Colorado,Commercial,2003,4.188825656
Colorado,Commercial,2004,4.062552049
Colorado,Commercial,2005,4.088826335
Colorado,Commercial,2006,3.78862122
Colorado,Commercial,2007,3.784724871
Colorado,Commercial,2008,4.485710008
Colorado,Commercial,2009,4.658199286
Colorado,Commercial,2010,4.189880026
Colorado,Electric Power,1990,31.27179093
Colorado,Electric Power,1991,30.59988681
Colorado,Electric Power,1992,31.54962758
Colorado,Electric Power,1993,32.12602386
Colorado,Electric Power,1994,33.47311669
Colorado,Electric Power,1995,32.50127586
Colorado,Electric Power,1996,34.20302726
Colorado,Electric Power,1997,34.39724528
Colorado,Electric Power,1998,34.83445336
Colorado,Electric Power,1999,35.0941747
Colorado,Electric Power,2000,38.63808238
Colorado,Electric Power,2001,40.84216332
Colorado,Electric Power,2002,39.59856932
Colorado,Electric Power,2003,39.73314445
Colorado,Electric Power,2004,39.77964885
Colorado,Electric Power,2005,40.10307119
Colorado,Electric Power,2006,41.04320957
Colorado,Electric Power,2007,42.41196197
Colorado,Electric Power,2008,40.52469009
Colorado,Electric Power,2009,37.95797387
Colorado,Electric Power,2010,39.35171931
Colorado,Industrial,1990,5.597824325
Colorado,Industrial,1991,7.315694599
Colorado,Industrial,1992,7.50787442
Colorado,Industrial,1993,8.098780431
Colorado,Industrial,1994,7.628434101
Colorado,Industrial,1995,7.57856672
Colorado,Industrial,1996,7.843044962
Colorado,Industrial,1997,8.242196552
Colorado,Industrial,1998,8.835359906
Colorado,Industrial,1999,8.681170274
Colorado,Industrial,2000,9.169874742
Colorado,Industrial,2001,12.43895062
Colorado,Industrial,2002,11.99567947
Colorado,Industrial,2003,11.3360828
Colorado,Industrial,2004,11.70661146
Colorado,Industrial,2005,12.68574913
Colorado,Industrial,2006,12.57104885
Colorado,Industrial,2007,12.81311394
Colorado,Industrial,2008,13.08583879
Colorado,Industrial,2009,13.26502535
Colorado,Industrial,2010,14.10413921
Colorado,Residential,1990,5.333062968
Colorado,Residential,1991,5.808733919
Colorado,Residential,1992,5.556100187
Colorado,Residential,1993,6.138055516
Colorado,Residential,1994,5.722710328
Colorado,Residential,1995,6.151432947
Colorado,Residential,1996,6.495455593
Colorado,Residential,1997,6.303506014
Colorado,Residential,1998,5.974410425
Colorado,Residential,1999,6.4381706
Colorado,Residential,2000,6.881187431
Colorado,Residential,2001,7.305191755
Colorado,Residential,2002,7.584870744
Colorado,Residential,2003,7.641233853
Colorado,Residential,2004,7.267562734
Colorado,Residential,2005,7.606805734
Colorado,Residential,2006,7.168982224
Colorado,Residential,2007,7.860459482
Colorado,Residential,2008,8.132621083
Colorado,Residential,2009,7.775464662
Colorado,Residential,2010,7.906667728
Colorado,Transportation,1990,19.14705461
Colorado,Transportation,1991,19.33681206
Colorado,Transportation,1992,19.5945099
Colorado,Transportation,1993,21.50771159
Colorado,Transportation,1994,21.72190475
Colorado,Transportation,1995,22.41238115
Colorado,Transportation,1996,22.91321255
Colorado,Transportation,1997,22.74884512
Colorado,Transportation,1998,23.88372539
Colorado,Transportation,1999,25.42513749
Colorado,Transportation,2000,25.68946578
Colorado,Transportation,2001,27.02103931
Colorado,Transportation,2002,26.85866201
Colorado,Transportation,2003,26.24817206
Colorado,Transportation,2004,29.26407383
Colorado,Transportation,2005,29.89669755
Colorado,Transportation,2006,30.71696172
Colorado,Transportation,2007,31.50336065
Colorado,Transportation,2008,30.49839278
Colorado,Transportation,2009,29.4955862
Colorado,Transportation,2010,29.94429576
Colorado,Population,1990,"3,307,618"
Colorado,Population,1991,"3,387,119"
Colorado,Population,1992,"3,495,939"
Colorado,Population,1993,"3,613,734"
Colorado,Population,1994,"3,724,168"
Colorado,Population,1995,"3,826,653"
Colorado,Population,1996,"3,919,972"
Colorado,Population,1997,"4,018,293"
Colorado,Population,1998,"4,116,639"
Colorado,Population,1999,"4,226,018"
Colorado,Population,2000,"4,301,261"
Colorado,Population,2001,"4,425,687"
Colorado,Population,2002,"4,490,406"
Colorado,Population,2003,"4,528,732"
Colorado,Population,2004,"4,575,013"
Colorado,Population,2005,"4,631,888"
Colorado,Population,2006,"4,720,423"
Colorado,Population,2007,"4,803,868"
Colorado,Population,2008,"4,889,730"
Colorado,Population,2009,"4,972,195"
Colorado,Population,2010,"5,029,196"
Connecticut,Commercial,1990,3.800656173
